"Ranking","County","Adherents","Percent"
435,"Abbeville County, South Carolina",10481,41.24
1787,"Acadia Parish, Louisiana",6460,10.46
1444,"Accomack County, Virginia",5254,15.84
1593,"Ada County, Idaho",52126,13.29
1158,"Adair County, Iowa",1660,21.61
1043,"Adair County, Kentucky",4478,24.00
1047,"Adair County, Missouri",6123,23.91
320,"Adair County, Oklahoma",10325,45.52
1950,"Adams County, Colorado",34568,7.83
1874,"Adams County, Idaho",364,9.15
483,"Adams County, Illinois",26498,39.49
182,"Adams County, Indiana",17831,51.85
2087,"Adams County, Iowa",215,5.34
540,"Adams County, Mississippi",12036,37.27
1205,"Adams County, Nebraska",6385,20.36
1425,"Adams County, North Dakota",380,16.22
1457,"Adams County, Ohio",4464,15.64
1794,"Adams County, Pennsylvania",10510,10.36
1693,"Adams County, Washington",2212,11.81
2157,"Adams County, Wisconsin",839,4.02
2238,"Addison County, Vermont",801,2.18
431,"Aiken County, South Carolina",66138,41.31
1772,"Aitkin County, Minnesota",1725,10.65
1256,"Alachua County, Florida",47845,19.34
1139,"Alamance County, North Carolina",33181,21.96
1928,"Alameda County, California",123422,8.17
1540,"Alamosa County, Colorado",2191,14.19
2097,"Albany County, New York",15873,5.22
2005,"Albany County, Wyoming",2441,6.72
1631,"Albemarle County, Virginia",12610,12.74
1995,"Alcona County, Michigan",756,6.91
139,"Alcorn County, Mississippi",20184,54.47
2143,"Aleutians East Borough, Alaska",134,4.27
2151,"Aleutians West Census Area, Alaska",232,4.17
1031,"Alexander County, Illinois",1996,24.23
330,"Alexander County, North Carolina",16696,44.88
1935,"Alexandria city, Virginia",11290,8.07
849,"Alfalfa County, Oklahoma",1621,28.73
1854,"Alger County, Michigan",908,9.46
2178,"Allamakee County, Iowa",514,3.59
1915,"Allegan County, Michigan",9314,8.36
1508,"Allegany County, Maryland",11015,14.67
1826,"Allegany County, New York",4881,9.97
766,"Alleghany County, North Carolina",3433,30.78
1329,"Alleghany County, Virginia",2908,17.90
2028,"Allegheny County, Pennsylvania",78101,6.38
1010,"Allen County, Indiana",87855,24.72
1145,"Allen County, Kansas",2926,21.88
1085,"Allen County, Kentucky",4602,23.06
1422,"Allen County, Ohio",17301,16.27
950,"Allen Parish, Louisiana",6749,26.20
1327,"Allendale County, South Carolina",1868,17.93
1558,"Alpena County, Michigan",4111,13.89
2144,"Alpine County, California",50,4.26
1901,"Amador County, California",3288,8.63
995,"Amelia County, Virginia",3196,25.19
807,"Amherst County, Virginia",9624,29.75
579,"Amite County, Mississippi",4715,35.91
1473,"Anchorage Municipality, Alaska",44678,15.31
1288,"Anderson County, Kansas",1514,18.69
345,"Anderson County, Kentucky",9471,44.21
177,"Anderson County, South Carolina",97855,52.29
252,"Anderson County, Tennessee",36312,48.33
605,"Anderson County, Texas",20569,35.19
1390,"Andrew County, Missouri",2907,16.81
523,"Andrews County, Texas",5605,37.91
2056,"Androscoggin County, Maine",6383,5.93
438,"Angelina County, Texas",35686,41.13
